Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
Mystic Electronics Ltd.,After 1991,,,MYSTICELE,,19-03-2013,,27-08-2015,20-11-2016,,1363866,,1363866,,100,,6.9,,6.9,,0,,31-03-2020,30-09-2022,,,-3.68,0.03,31-03-2021,31-12-2022,,,-2.99,-0.72,31-03-2023,31-03-2022,,,-0.49,0.02,30-06-2023,31-03-2023,,,-3.43,0.03,,,0.67,,,0.38,,,,0.65,,0.02,38.39,,,19.77,,13.24,,1.2,1.2,,,4.18,38.39,,,0,,19.57,,1.11,,,17.71,,,,,,0.03,,,0.01,,-1.09,,1.05,-0.05,,,0.04,2.94,5.81,,0.19,,10,1.92,,-0.75,,,,1.92,,,,1.53,0.2,,6.97,,,0.83,12.23,,,
N 2 N Technologies Ltd.,Between 1972 and 1985,,,NNTL,,31-01-1986,,,,,1625980,400000,234500,1391480,100,12.39,50.37,24.6,7.26,,43.11,28.75,31-03-2020,30-09-2022,,0.1,-0.08,0.05,31-03-2021,31-12-2022,0.2,,0,-4.99,31-03-2023,31-03-2022,,0.3,-0.01,-4.65,30-06-2023,31-03-2023,0.61,0.38,0.02,0.02,7.86,,,0.18,0.18,,,,23.97,4.65,-15.93,-4.65,6.29,25.35,0.94,4.02,3.5,1.51,16.3,0.18,0.18,16.3,4.61,0.58,6.29,25.35,9.83,,0.96,,0.8,6.29,,,,13.46,,,,0.02,,0.01,0.04,,-18.96,-0.01,16.78,,0.02,1.51,0.05,0.01,8.2,2.65,,-0.21,,10,0.19,,0.16,,,,0.22,,,,44.12,0.55,,3.62,,,0.73,0,,,
N A C L Industries Ltd.,Between 1986 and 1990,07-04-2017,NACLIND,NACLIND,,20-02-1995,,,,,126915859,,114209999,12705860,100,,63.83,,57.44,,6.39,,31-03-2020,30-09-2022,1014.89,564.91,15.77,30.01,31-03-2021,31-12-2022,482.9,1191.37,16,50.29,31-03-2023,31-03-2022,1633.35,596.71,41.65,76.04,30-06-2023,31-03-2023,2116,386.01,102.79,-36.6,1633.17,1633.17,14.49,11.5,8.74,11.43,,,1681.9,1685.06,76.22,76.04,1463.79,1563.94,19.83,19.83,468.54,464.12,213.84,130.7,90.38,175.04,861.73,849.14,1463.79,1563.94,238.21,209.23,12.63,57.6,18.15,26.81,,,1142.41,1172.2,,,410.72,410.71,0.07,0.07,101.97,76.58,-124.24,-115.56,-163.39,-110.94,204.42,289.52,69.94,44.55,78.83,1568.66,15-09-2023,1.15,78.95,1,2.57,198841843,0.27,1,2.11,2.57,3.76,2.11,3.52,3.76,30.7,2.94,3.52,1966.34,30.75,2.94,0.8,11.27,1968.73,0.8,11.28
N B C C (India) Ltd.,Between 1951 and 1971,12-04-2012,NBCC,NBCC,,12-04-2012,,,,,1111579093,,1111579093,,100,,61.75,,61.75,,0,,31-03-2020,30-09-2022,5210.33,1556.46,79.87,99.44,31-03-2021,31-12-2022,1586.68,4947.45,48.52,201.74,31-03-2023,31-03-2022,5546.62,2227.36,96.38,182.86,30-06-2023,31-03-2023,6736.31,1478.07,231.13,63.13,7601.07,5479.69,245.91,357.55,354.91,219.37,24.09,0.02,7810.18,5578.78,237.9,182.86,8898.61,13933.28,350.14,180,1587.73,1594.76,457.69,247.18,0.09,0.26,11537.72,6876.67,8898.61,13933.28,157.88,55.87,35.33,333.56,1316.54,1251.8,12.61,1,6973.12,12062.19,0,0,1612.37,1612.95,4,4,5817.76,2340.43,79.89,269.54,33.33,-44.3,-90.17,-94.67,2534.52,2118.48,60.34,10862.1,15-09-2023,1.74,60.35,1,1.66,1800000000,-0.51,1,1.96,1.66,1.68,1.96,1.99,1.68,36.27,5.77,1.99,8522.42,36.28,5.77,1.27,19.5,8524.22,1.27,19.51
N B Footwear Ltd.,Between 1986 and 1990,,,NBFOOT,,15-05-1989,,,,,9500100,,9500100,,100,,70.37,,70.37,,0,,31-03-2020,30-09-2022,,,-0.26,-0.05,31-03-2021,31-12-2022,,,-0.05,-0.34,31-03-2023,31-03-2022,,,-0.03,-0.13,30-06-2023,31-03-2023,,,-0.23,-0.08,,,,,,,,,,0.23,,-0.23,0,,,14.5,,-15.67,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,0.01,3.38,4.56,,-0.36,,10,-0.16,,-0.07,,,,-0.16,,,,,,,5.56,,,0.82,0,,,
N B I Industrial Finance Co. Ltd.,Between 1951 and 1971,07-12-2016,NBIFIN,,,,,,,,1826292,,1826292,0,100,,74.34,,74.34,,0,,31-03-2020,30-09-2022,14.38,4.27,12.96,2.37,31-03-2021,31-12-2022,0.6,2.16,0.03,1.61,31-03-2023,31-03-2022,12.26,4.71,2.76,7.94,30-06-2023,31-03-2023,10.15,5.49,5.27,3.73,,,12.27,3.82,0.24,0.43,10.9,3.38,0.5,4.35,3.41,7.94,2204.99,31.29,1.23,1.23,29.77,2137.31,0.26,,,,0.03,3.1,2204.99,31.29,0,0.02,24.17,,,,,,,7.03,2.45,,,,0.02,0.02,1.65,,-3.03,7.89,3.11,-38.68,,-0.03,1.68,6.1,,456.92,15-09-2023,0.5,1859.8,,,2456806,0.03,5,,36.23,,,,36.23,,,,,51.34,0.21,,,450.79,1.01,41.78
N C C Blue Water Products Ltd.,After 1991,,,NCCBLUE,,14-11-1994,,10-09-2001,17-01-2018,,2783436,,2783436,,100,,35.92,,35.92,,,,31-03-2020,30-09-2022,,,0.81,0.1,31-03-2021,31-12-2022,,,0.1,0.41,31-03-2023,31-03-2022,,,0.08,0.32,30-06-2023,31-03-2023,,,0.34,0.07,,,,,,,,,,0.29,,0.32,7.55,,,7.75,,-0.27,,0.02,,,,0.05,7.55,,,,,0.39,,0.62,,,6.54,,,,,,,,,6.52,,,,,,,,,6.6,5.11,,-0.32,,10,0.46,,0.98,,,,0.46,,,,14.21,0.65,,-1.41,,,-3.64,-3.19,,,
N C C Finance Ltd.,After 1991,,,NCCFIN,,22-02-1996,,,,,970872,,970872,,100,,16.11,,16.11,,0,,31-03-2016,31-12-2018,,,-0.04,-0.01,31-03-2017,31-03-2019,,,0.02,0.02,30-06-2019,31-03-2018,,,-0.04,-0.08,30-09-2019,31-03-2019,,,-0.05,-0.04,,,,,,,,,,0.08,,-0.05,0.01,,,6.02,,-6.06,,,,,,0.05,0.01,,,,,0.01,,,,,,,,,,,,,,,,-0.03,,0.02,,,,,1.05,0.63,,0.02,,10,-0.13,,-0.2,,,,-0.13,,,,,,,0.62,,,1.02,0,,,
N C C Ltd.,Between 1986 and 1990,24-08-1995,NCC,NCC,01-10-2002,15-12-1992,13-10-2003,,,,138126680,200,138126680,,100,0,22,0,22,0,0,,31-03-2020,30-09-2022,8218.8,3003.71,382.04,121.63,31-03-2021,31-12-2022,3372.66,7256.02,149.88,261.49,31-03-2023,31-03-2022,9930.03,4016.32,177.67,490.12,30-06-2023,31-03-2023,13351.32,3838.25,569.21,162.26,15566.97,13361.62,87.31,79.83,79.13,74.93,12.24,,14995.91,12934.36,635.74,569.21,15787.64,16754.32,444.2,125.57,6041.26,6196.33,237.35,208.76,83.08,89.09,10031.51,9256.98,15787.64,16754.32,1239.23,1164.09,601.45,1095.2,1046.17,705.34,411.05,367.94,12361.54,13386.4,14.23,1.1,1077.84,1374.03,0.73,0.8,708.47,644.9,1100.11,873.13,-191.56,-132.38,-748.73,-892.7,282.39,227.41,145.3,9124.18,15-09-2023,1.93,145.35,2,8.97,627846588,-0.16,2,9.86,8.97,12.22,9.86,13.16,12.22,16.2,1.44,13.16,9759.3,16.21,1.44,0.93,6.38,9762.44,0.93,6.38
N C L Industries Ltd.,Between 1972 and 1985,03-04-2007,NCLIND,NCLIND,,02-06-1983,,,,,21381679,2122377,21381679,,100,4.69,47.27,9.93,47.27,9.93,0,,31-03-2020,30-09-2022,1075.82,433.17,50.85,2.77,31-03-2021,31-12-2022,490.43,1568.47,19.94,148.69,31-03-2023,31-03-2022,1841.43,495.5,10.82,98.14,30-06-2023,31-03-2023,1877.44,507.96,46,31.08,1620.12,1620.12,6.89,6.89,6.89,6.89,,,1584.28,1583,44.29,46,1530,1528.16,45.23,45.23,724.65,729.62,421.56,422.25,207.53,207.53,336.72,332.9,1530,1528.16,1005.97,985.56,5.46,35.46,54.6,54.56,,,423.2,430.91,,,149.61,149.62,0.03,0.03,40.2,35.3,208.15,210.55,-95.8,-103.07,-82.82,-82.84,40.23,35.33,223.95,1013.1,15-09-2023,1.29,224,10,15.95,45232790,-0.14,10,15.61,15.95,27.17,15.61,26.97,27.17,14.04,1.27,26.97,1269.98,14.05,1.27,0.8,7.69,1270.2,0.8,7.7
N C L Research & Financial Services Ltd.,Between 1972 and 1985,,,NCLRESE,,20-07-2010,,07-01-2015,09-04-2017,,,,,,100,,,,0,,0,,31-03-2020,30-09-2022,2.42,1.12,0.02,0.24,31-03-2021,31-12-2022,1.41,1.85,0.72,0.01,31-03-2023,31-03-2022,1.87,1.01,0.42,1.04,30-06-2023,31-03-2023,3.9,1.09,0.6,0.48,,0.01,3.96,,,3.33,0.14,,,3.37,,0.6,130.4,,,107.03,,17.09,,,,,,2.34,130.4,,,0.17,,,,,,,,,,,,,0.13,,,,,,,,,,,,0.57,61.01,,0.57,,1,0.02,,0.48,,,,0.02,,,,32.98,0.49,,60.3,,,1.01,19.84,,,
N D A Securities Ltd.,After 1991,,,NDASEC,,04-10-1994,,,,,3639240,,3639240,,100,,71.47,,71.47,,0,,31-03-2020,30-09-2022,4.93,1.41,-0.62,-0.02,31-03-2021,31-12-2022,1.48,5.74,0.11,0.42,31-03-2023,31-03-2022,8.02,1.16,0.64,0.78,30-06-2023,31-03-2023,5.72,1.22,0.82,0.02,,,8.02,8.02,0.63,0.63,0.03,0.03,7.29,7.25,0.74,0.78,15.73,15.88,5.09,5.09,2.9,3.2,,,,,6.8,6.8,15.73,15.88,0.43,0.39,,,,,,,,,,,,,0.06,0.06,,,-0.85,-1.05,-0.56,-0.56,-0.09,-0.32,5.71,5.7,26.6,15.82,,0.56,,10,1.26,,0.51,,1.21,,1.46,,1.43,,21.1,1.49,,10.15,,,1.56,2.32,,,
N D L Ventures Ltd.,Between 1972 and 1985,28-08-1995,NDLVENTURE,NDLVENTURE,,23-09-1986,,,,,21775491,,18604961,3170530,100,,64.67,,55.25,,9.42,,31-03-2020,30-09-2022,813.58,,127.07,-0.14,31-03-2021,31-12-2022,,694.74,0.38,-54.96,31-03-2023,31-03-2022,69.3,,0.25,43.22,30-06-2023,31-03-2023,,,0.27,0.48,1095.93,,1.82,13.17,13.04,1.82,,0.02,1134.99,2.26,1.9,0.27,80.54,2053.24,188.07,33.67,314.31,34.21,373.12,0.03,,344.03,1177.74,12.63,80.54,2053.24,1178.44,,7.98,,121.19,1.06,40.7,,79.48,360.76,6.16,,12.02,24.35,,1.6,48.23,11.29,-26.51,74.87,623,-54,-13.47,-580.8,28.76,7.4,132,441.94,15-09-2023,0.96,130.5,10,0.2,33671621,-0.26,10,-25.62,0.2,0.2,-25.62,45.9,0.2,673.43,7.21,45.9,433.18,665.78,7.13,1.03,1604.35,428.12,1.03,1585.65
N D Metal Inds. Ltd.,Between 1972 and 1985,,,NDMETAL,,17-01-1985,,12-03-2020,25-01-2021,,1858140,,1858140,,100,,74.93,,74.93,,0,,31-03-2020,30-09-2022,3.95,,-0.41,0.04,31-03-2021,31-12-2022,,2.07,-0.07,-0.29,31-03-2023,31-03-2022,0.22,0.03,0.21,-0.02,30-06-2023,31-03-2023,0.03,,0.18,0.03,,0.77,,,,,,,,0.86,,0.18,13.97,,,2.48,,1.24,,10.07,0.5,,,0.18,13.97,,,1.65,,,,5.4,,1.94,4.02,,,,,,0.01,,,0.01,,2.19,,,-2.2,,,0.02,41.89,10.39,,,,10,0.16,,,,,,0.73,,,,259.72,2.77,,10.87,,,0.96,26.51,,,
N D R Auto Components Ltd.,After 1991,30-07-2020,NDRAUTO,NDRAUTO,,30-07-2020,,,,,8794284,,8794284,,100,,73.95,,73.95,,0,,31-03-2020,30-09-2022,96.62,93.76,1.67,6.13,31-03-2021,31-12-2022,105.73,114.13,4.26,6.94,31-03-2023,31-03-2022,232.55,130.26,7.5,10.8,30-06-2023,31-03-2023,392.78,127.63,21.36,6.7,392.78,392.78,4.31,3.44,3.44,3.44,0.87,,379.83,379.8,20.49,21.36,295.91,343.86,5.95,5.95,211.98,164.03,31.51,31.51,31.17,31.17,94.42,94.42,295.91,343.86,133.49,133.49,49.61,1.65,15.39,15.39,,,131.1,131.09,0.9,0.9,39.35,39.35,0.02,0.01,51.51,51.51,48.19,48.19,-34.58,-34.58,-5.45,-5.45,9.07,9.07,539.9,641.49,15-09-2023,1.27,538.9,10,19.94,11892652,1.1,10,26.38,19.94,28.62,26.38,35.06,28.62,27.08,3.7,35.06,624.28,27.03,3.69,1.03,15.99,623.1,1.03,15.96
N G Industries Ltd.,After 1991,,,NGIND,,04-08-1995,,,,,2496000,,2496000,,100,,74.5,,74.5,,0,,31-03-2020,30-09-2022,18.5,4.89,1.47,5.13,31-03-2021,31-12-2022,4.07,11.88,1.17,0.61,31-03-2023,31-03-2022,18.42,4.2,1.15,2.61,30-06-2023,31-03-2023,18.7,4.53,8.32,2.03,,18.7,8.36,,,0.09,0.29,,,18.75,,8.32,31.66,,,3.35,,24.86,,1.58,,,,1.87,31.66,,,5.2,,22.27,,0.26,,,3,,,,0.65,,0.05,,,1.7,,3.14,,-1.71,-1.1,,,1.74,139.95,46.89,,0.34,,10,28.32,,0.1,,,,29.85,,,,4.94,1.55,,24.43,,,1.92,2.37,,,
N G L Fine-Chem Ltd.,Between 1972 and 1985,08-07-2022,NGLFINE,NGLFINE,,03-03-1995,,17-03-2005,05-07-2005,,4542984,,4542984,,100,,73.53,,73.53,,0,,31-03-2020,30-09-2022,152.18,64.95,10.6,4.96,31-03-2021,31-12-2022,69.8,255.21,6.09,55.47,31-03-2023,31-03-2022,318.67,74.17,8.53,52.25,30-06-2023,31-03-2023,279.48,69.11,20.12,7.81,278.09,275.05,5.87,3.64,0.25,2.48,0.63,0.63,239.2,239.24,20.5,20.12,288.29,287.26,3.09,3.09,219.47,222.44,6.24,5.94,2.07,2.07,58.46,56.82,288.29,287.26,87.92,59.49,,3.73,5.81,35.01,4.39,4.39,159.36,162.83,39.46,39.46,26.96,27,0.28,0.28,12.76,12.67,35.28,29.86,-29.43,-24.01,1.33,1.34,7.83,7.82,1985.35,1225.33,15-09-2023,0.95,1981.4,5,43.3,6178024,0.51,5,45.19,43.3,56.15,45.19,62.29,56.15,45.85,5.28,62.29,1202.25,45.76,5.27,1.02,33.1,1199.81,1.02,33.03
N H C Foods Ltd.,After 1991,,,NHCFOODS,,20-02-1995,,05-01-2002,26-01-2010,,4862155,,4862155,,100,,41.01,,41.01,,0,,31-03-2020,30-09-2022,131.61,33.18,1.41,0.4,31-03-2021,31-12-2022,34.22,151.78,0.28,1.38,31-03-2023,31-03-2022,152.93,57.24,0.73,1.47,30-06-2023,31-03-2023,163.56,42.04,1.76,0.41,,163.56,0.04,,,0.04,,,,169.18,,1.76,77.97,,,11.86,,13.63,,9.35,6.96,,,43.13,77.97,,,11.81,,0.01,,0.69,,,64.63,,,,28.85,,0.08,,,2.88,,-1.67,,1.1,0.5,,,2.96,44.76,53.06,,0.68,,10,1.13,,0.61,,,,2.15,,,,39.6,2.05,,84.35,,,0.63,11.03,,,
N H P C Ltd.,Between 1972 and 1985,01-09-2009,NHPC,NHPC,,01-09-2009,,,,,7126772676,,7126772676,,100,,70.95,,70.95,,,,31-03-2020,30-09-2022,8735.15,2836.21,3007.17,1433.08,31-03-2021,31-12-2022,2272.2,8506.58,781.66,3245.06,31-03-2023,31-03-2022,8309.22,1717.43,569.47,3537.71,30-06-2023,31-03-2023,9316.34,2570.96,3833.79,1052.94,9300.67,8473.98,1176.2,1520.48,1470.9,756.71,376.85,6.96,7294.03,6462.07,4239.83,3833.79,80214.48,93139.82,14860.16,10045.03,26854.31,25362.93,39973.99,34420.79,25266.39,26649.42,11451.36,10385.73,80214.48,93139.82,22132.9,20063.81,351.71,5776.14,7511.6,5195.98,16902.03,12259.63,11039.4,14307.92,151.35,151.35,153.63,164.44,0.01,0.01,2693.67,638.21,4692.23,3893.85,-4246.05,-2929.3,-1519.66,-795.67,1019.81,382.67,54.79,55041.77,15-09-2023,0.6,54.8,10,3.22,10045034805,0.24,10,3.22,3.22,4.37,3.22,4.45,4.37,17,1.53,4.45,82205.74,17,1.53,0.67,12.71,82215.78,0.67,12.71
N I B E Ltd.,After 1991,,,NIBE,,12-03-2013,,,,,6560884,,6560884,,100,,55.32,,55.32,,0,,31-03-2020,30-09-2022,1.44,17.22,-0.48,1.09,31-03-2021,31-12-2022,15.18,2.51,0.93,0.13,31-03-2023,31-03-2022,21.24,62.27,2.35,-0.45,30-06-2023,31-03-2023,104.95,25.75,4.57,1.31,,105.04,1.02,,,0.9,,,,103.95,,4.57,156.42,,,22.49,,55.01,,28.06,27.93,,,50.86,156.42,,,39.21,,6.03,,26.82,,1.2,72.84,,,0.47,9.32,,0.2,,,13.26,,-2.88,,-66.85,77.08,,,8.46,505,598.9,,0.35,,10,4.76,,2.51,,4.38,,8.51,,7.55,,106,8.8,,615.65,,,0.97,47.07,,,
N I I T Ltd.,Between 1972 and 1985,01-12-1994,NIITLTD,NIITLTD,09-07-2004,24-05-1993,15-08-2004,08-07-2004,15-08-2004,,46893777,,46876626,17151,100,,34.84,,34.82,,0.01,,31-03-2020,30-09-2022,400.86,136.32,1377.77,18.37,31-03-2021,31-12-2022,42.73,368.09,4.03,56.71,31-03-2023,31-03-2022,125.8,25.17,-10.58,87.25,30-06-2023,31-03-2023,157.45,26.07,-14.38,1.57,1379.44,445.23,120.84,47.37,20.13,18.51,74.37,,1201.8,456.37,229.86,142.32,1626.53,2261.61,30.75,26.77,1488.49,1335.32,92.22,62.49,6.4,11.24,650.15,201.95,1626.53,2261.61,370.49,163.27,0.06,249.01,95.53,47.76,7.34,3.95,1111.56,1732.44,577.68,568.82,0.05,4.85,,0.05,522.8,187.61,287.81,53.22,227.21,313.02,-366.25,-386.14,307.72,6.84,123.68,1665.66,15-09-2023,1.2,123.6,2,-0.21,134718194,0.46,2,-2.84,-0.21,0.57,-2.84,-2.34,0.57,,1.24,-2.34,769.89,,1.24,2.16,4.85,768.82,2.17,4.84
N K Industries Ltd.,Between 1986 and 1990,15-05-1995,NKIND,NKIND,11-11-2002,21-10-1994,30-03-2016,16-01-2013,30-03-2016,,4403754,,4403754,,100,,73.27,,73.27,,0,,31-03-2020,30-09-2022,98.3,0.72,-6.2,-0.7,31-03-2021,31-12-2022,0.71,2.83,-0.28,-2.32,31-03-2023,31-03-2022,2.83,0.64,-0.06,-1.86,30-06-2023,31-03-2023,2.82,0.67,-1.61,-0.75,20.39,2.46,0.37,0.33,0.31,0.37,,,22.27,4.69,-1.53,-1.86,353.48,1959.75,6.01,6.01,-347.15,-345.8,2296.67,689.77,,,4.22,3.5,353.48,1959.75,206.63,121.78,0.16,1.77,58.32,77.47,1636.95,94.82,25.67,24.61,,,1.39,1.74,0.01,0.06,1.7,1.42,1.25,1.39,-1.4,-1.43,,,1.76,1.43,39.55,23.42,15-09-2023,0.73,38.4,10,-3.14,6009900,0.05,10,-2.98,-3.14,2.25,-2.98,2.76,2.25,,,2.76,22.34,,,1.06,11.95,21.65,1.07,11.58
N L C India Ltd.,Between 1951 and 1971,23-08-2000,NLCINDIA,NLCINDIA,,28-11-1995,,,,,1098221224,,1098221224,,100,,79.2,,79.2,,0,,31-03-2020,30-09-2022,7911.89,2752.75,1413.85,367.21,31-03-2021,31-12-2022,2812.21,7249.63,-398.84,1010.46,31-03-2023,31-03-2022,9856.48,4295.58,773.8,1236.78,30-06-2023,31-03-2023,12955,2601.01,1248.24,331.02,13261.7,10806.08,514.09,117.89,116.92,416.52,97.37,,12047.51,11288.17,1115.13,1248.24,36769.87,53477.03,3571.77,1386.64,12802.54,13252.22,29301.56,17112.56,7844.09,18872.97,7801.16,5018.45,36769.87,53477.03,24874.92,18731.91,6.62,4196.32,2474.38,2646.88,2837.96,1154.77,8886.52,9572.07,,,872.87,1233.49,,0.01,769.03,205.19,7769.64,3478.86,-762.61,-1544.48,-1986.72,-7024.96,139.41,71.18,131.8,18279.34,15-09-2023,0.85,131.85,10,0.48,1386636609,0.03,10,5.09,0.48,10.9,5.09,18.26,10.9,274.49,1.22,18.26,27448.87,274.6,1.22,0.67,4.38,27455.8,0.67,4.38
N M D C Ltd.,Between 1951 and 1971,03-03-2008,NMDC,NMDC,,28-08-1997,,,,,1781633571,,1781633571,,100,,60.79,,60.79,,0,,31-03-2020,30-09-2022,11699.22,3328.45,3610.91,888.81,31-03-2021,31-12-2022,3719.99,15370.06,890.09,6252.65,31-03-2023,31-03-2022,25964.79,5851.37,2277.25,9448.27,30-06-2023,31-03-2023,17666.88,5394.66,5529.31,1650.07,17666.88,17666.88,550.02,550.88,544.49,543.63,,,14627.29,14616.01,5537.72,5528.63,38332.08,38661.91,307.3,293.07,22327.76,22039.24,1649.54,1611.15,4.74,5.02,14377.31,14388.62,38332.08,38661.91,3198.57,3013.87,934.68,886.72,4889.68,4892.51,1122.03,1122.03,25950.67,25983.16,5.75,,2660.58,2660.58,,,7097.75,7048.04,2465.61,2379.88,41.02,149.11,-2534.32,-2534.23,93,77.59,149.6,43885.82,15-09-2023,1.24,149.9,1,15.84,2930605850,0.06,1,16.19,15.84,16.92,16.19,17.27,16.92,9.45,1.89,17.27,36811.26,9.47,1.9,1.19,4.67,36899.18,1.19,4.68
N M D C Steel Ltd.,After 1991,20-02-2023,NSLNISP,NSLNISP,,20-02-2023,,,,,1781633571,,1781633571,,100,,60.79,,60.79,,0,,,,,,,,,30-06-2022,,,,,31-03-2023,,,,,,30-06-2023,31-03-2023,,,,,,,,,,,,,,,,,25568.21,,,2930.61,,14117.97,,6320.17,3818.3,,,2199.46,25568.21,,,1118.49,,,,340.94,,1864.77,2698.78,,,,859.54,,,,,1512.65,,1515.98,,-3046.69,2151.03,,,621.14,54.44,15911.72,15-09-2023,,54.15,10,0,2930605850,,10,,0,0,,,0,,0.94,,19141.52,,0.93,0.83,0,19056.53,0.83,0
N M S Resources Global Ltd.,Between 1986 and 1990,,,NMSRESRC,,02-03-1995,,17-05-2023,22-08-2023,,1500700,,1500700,,100,,49.93,,49.93,,0,,31-03-2020,30-09-2022,0.51,0.16,0.01,0.04,31-03-2021,31-12-2022,1.04,,0.06,-0.63,31-03-2023,31-03-2022,0.44,0.78,0.13,0.01,30-06-2023,31-03-2023,2.02,1.87,0.24,0,2.75,0.44,,,,,,,1.02,0.43,0.02,0.01,4.62,12.5,3.01,3.01,-1.78,-2.29,3.05,,,3.05,8.22,3.9,4.62,12.5,0.3,0.01,0.59,0.31,2.89,2.89,,,1.25,8.11,,,,0.2,0.12,0.25,0.17,0.02,-2.93,-4.83,2.78,4.88,,-1.27,0.32,0.06,46.64,14.02,,0.43,,10,0.77,,1.47,,1,,0.9,,1.5,,60.95,14.76,,14.97,,,0.94,124.73,,,
N P R Finance Ltd.,Between 1986 and 1990,,,NPRFIN,,15-05-1995,,,,,4074115,,4074115,,100,,68.02,,68.02,,0,,31-03-2020,30-09-2022,27.79,2.56,1.66,0.19,31-03-2021,31-12-2022,4.23,5.78,-2.3,-1.06,31-03-2023,31-03-2022,7.63,3.44,-0.08,-0.05,30-06-2023,31-03-2023,12.74,2.68,-2.42,0.05,,0.8,4.49,,,4.43,,,,5.34,,-0.05,58.61,,,5.99,,47.56,,,,,,1.91,58.61,,,4.27,,,,,,,,,,,,,0.51,,,,,2.79,,-0.16,-2.19,,,0.56,14.9,8.92,,0.23,,10,-2.96,,-0.09,,,,-2.44,,,,,0.17,,8.36,,,1.07,5.81,,,
